station,X,Y
ABO,2609828.012732571,1149862.1609714073
AIG,2559807.1184027144,1131460.9989796656
ALT,2689788.7030542423,1193141.7584502543
AND,2752777.3737719394,1164765.2538694185
ANT,2687653.6557992506,1165315.1982830323
ARO,2771337.256347988,1185654.8989530266
BAS,2610896.8067991873,1264743.565342749
BER,2602132.8963774503,1203585.6861080772
BIA,2718936.300779349,1132497.019688964
BIE,2516458.3544260003,1152288.024010193
BIN,2658589.049232004,1135316.0177942168
BIV,2771117.77337442,1148578.1896591308
BIZ,2737683.1608594423,1264484.0159982354
BLA,2629063.854654543,1140660.205477385
BOL,2595763.6327544833,1162825.1338699327
BOU,2554729.52018013,1138908.21922623
BUF,2816446.627453484,1170430.301091165
BUS,2648683.3643139913,1248255.4623628529
CDM,2573947.989596739,1136941.5519350385
CEV,2689450.7981154686,1130135.4508742457
CHA,2570515.7769677527,1220334.724940864
CHD,2576555.7572182426,1148047.4258818119
CHU,2759692.7478932305,1192746.8175401923
CIM,2703792.598396152,1117393.5988956315
CMA,2733055.993914044,1190241.4962882595
COM,2714804.561710625,1147241.7487217516
COY,2573069.925339268,1225881.4151004944
CRM,2571736.1554849804,1211064.1942728735
DAV,2783998.054858999,1187884.366705404
DEM,2593303.4487001905,1244353.7026717917
DLALH,2750922.701677493,1335258.709093245
DLAME,2962502.810828959,1329716.1906266103
DLBAB,2659716.1477196864,1398505.2599090452
DLBUC,2641927.137901766,1313068.754331767
DLDRE,3042507.3685148894,1683381.6657456593
DLDUE,2553005.772907869,1684322.065405094
EGH,2650831.47819109,1142657.0298981129
EGO,2642549.7347430442,1225971.8773822547
EIN,2699485.8699808274,1221092.0859773585
ELM,2732891.185283149,1197650.960996497
ENG,2674638.0987571217,1185521.6590430334
EVI,2568704.1083605974,1114733.1810914818
EVO,2606031.6417895863,1107243.774743202
FRE,2534747.859288775,1187266.5422190654
GSB,2578876.7396550765,1079485.814309117
INNEBI,2665430.1196812973,1213208.3154143034
IYANT,2956468.0881237164,1201246.1631456716
IYAUE,2897119.3041279316,1140493.0737708008
IYBAR,2913607.680883208,1169156.7032866834
IYBOZ,2897576.7274947655,1157210.5695686669
IYBRI,2921739.2561276555,1184430.4752098776
IYBRU,2942937.967791514,1193030.4414839158
IYBRZ,2898126.040287234,1146107.7374417814
IYDEO,2916241.7215311467,1143320.7500294093
IYDEU,2906992.8669374436,1148408.0989349731
LAT,2776970.2948621986,1167282.8912255478
MMCPY,2555835.264964795,1114813.545995809
MMERZ,2626322.372870547,1181408.963009417
NABBER,2599596.5927491947,1199879.6471176955
NABDAV,2783998.054858999,1187884.366705404
RAG,2756713.9813345456,1209349.3293145453
SLFAL1,2566317.313716311,1148096.1251155748
SLFALB,2783518.439709158,1161918.5836704099
SLFALI,2565037.5145715047,1148103.4368043386
SLFAM2,2729746.4032709138,1225381.6122386078
SLFAMD,2728483.02885503,1225354.1824992534
SLFAN2,2607311.2626754553,1114656.2393148171
SLFAN3,2616339.5067129005,1107262.67774749
SLFANV,2611178.783027674,1110956.5655639512
SLFAR2,2600878.9333734615,1097977.0098824992
SLFARO,2599588.4783553914,1097976.975353594
SLFBD3,2682778.139252638,1148569.623041348
SLFBE2,2799452.857917783,1143888.662465246
SLFBE3,2790429.3018123712,1145450.4989342522
SLFBED,2682701.7825541478,1154127.3660985932
SLFBEL,2640608.6752636395,1138873.9972801157
SLFBER,2798111.284081367,1145698.163104646
SLFBEV,2784909.184490714,1158253.9485559596
SLFBO2,2679157.468580106,1131844.7702839652
SLFBOG,2679157.468580106,1131844.7702839652
SLFBR2,2783688.096086383,1156362.9061656445
SLFCH2,2579076.683509509,1136921.518214313
SLFCMA,2733055.993914044,1190241.4962882595
SLFCON,2586745.234429721,1125783.1540366793
SLFCSL,2569241.7329355865,1218488.2563459834
SLFDA2,2781848.4684734843,1174843.1435338657
SLFDA3,2777751.207292145,1183988.3082594834
SLFDAV,2781904.626955107,1172991.2183275693
SLFDT2,2709515.995471806,1156408.6087479177
SLFDTR,2709515.995471806,1156408.6087479177
