municipality,RMSE,Error,Error_percentage
1,0.037707714,256.8241658,0.071441064
2,0.035529283,248.2167178,0.052825497
3,0.040195467,291.4030088,0.072556463
4,0.045132194,306.2445546,0.074588608
5,0.040209658,263.2300511,0.084133849
6,0.052772698,383.1678186,0.085917148
7,0.032770126,214.4234203,0.04545774
8,0.072236935,438.6135678,0.149278893
9,0.061948299,356.6644582,0.116405553
10,0.044709549,289.0134427,0.062106706
11,0.04421001,305.5104973,0.077760572
12,0.025617804,146.2814874,0.036780776
13,0.044022385,277.4638423,0.083573665
14,0.046630487,312.1742727,0.081001244
22,0.044592813,288.9052499,0.085982291
23,0.029353256,168.7125624,0.042132741
24,0.041130604,282.2181341,0.058161183
25,0.056080163,324.1469531,0.110945707
26,0.050524354,340.1959196,0.073868372
27,0.044222219,292.3307239,0.061411801
28,0.023549742,151.8947481,0.033428978
29,0.066949825,396.1029857,0.134549288
31,0.045154022,296.368946,0.0619478
33,0.035205364,253.4251665,0.061770967
34,0.044083758,271.9306895,0.085536641
35,0.045149955,277.7715146,0.079287979
37,0.034213058,221.9749758,0.047154233
38,0.025108811,181.431593,0.032710635
39,0.030794897,210.4315297,0.055241791
40,0.052419502,329.7125825,0.094969408
41,0.02144838,141.8027068,0.035373787
43,0.038493587,260.6762886,0.08110158
51,0.048987299,334.9131942,0.069430718
52,0.043512197,311.1579958,0.074957253
53,0.040767325,300.8241113,0.067663047
54,0.034721867,236.7416797,0.05470972
55,0.040609863,263.8445664,0.056940377
56,0.031514531,212.1510484,0.046109334
57,0.052355411,321.1029153,0.102594067
58,0.034935668,227.7388181,0.064709033
59,0.059145123,353.8290221,0.11595937
60,0.036329066,253.428405,0.060414791
61,0.028181241,180.7060701,0.05321051
62,0.029453074,194.2183665,0.044894119
63,0.040546852,269.3087583,0.056294159
64,0.045567932,274.1023022,0.078473815
65,0.030642702,179.0194787,0.050777381
66,0.031713974,199.0477129,0.053295482
67,0.038631557,239.9350143,0.071855563
68,0.052195015,388.2816474,0.093299811
69,0.031581879,218.3487695,0.048502205
70,0.027187944,175.0078138,0.048829077
71,0.023497669,150.3500357,0.036299283
72,0.054332112,311.7697999,0.0957482
81,0.03407666,231.9854621,0.056165547
82,0.04770678,334.6045256,0.08948095
83,0.04770227,322.501127,0.081671849
84,0.042050536,297.9553695,0.064018068
85,0.066884105,408.0524659,0.137626783
86,0.038780775,263.611955,0.056407649
87,0.046058303,280.8230423,0.068810479
88,0.049745389,367.127923,0.086192209
89,0.052470244,306.1000148,0.088946251
90,0.040004476,242.0115114,0.067509617
91,0.042679546,298.7565451,0.067043234
92,0.042666653,290.6034546,0.075168329
93,0.031647195,219.5149986,0.054806004
94,0.0321047,211.2764934,0.048342647
95,0.072236935,438.6135678,0.149278893
96,0.036823847,262.3492407,0.060120534
97,0.04394841,299.1747634,0.06021773
98,0.072236935,438.6135678,0.149278893
99,0.065642141,395.1449833,0.130599284
100,0.036512321,244.5067366,0.055076371
101,0.032233094,207.7716132,0.049646913
102,0.043506287,269.1766382,0.083186986
111,0.041280027,261.9688711,0.082828211
112,0.033096354,204.0690307,0.05329793
113,0.045195793,335.1700735,0.075844276
114,0.032510648,192.9766057,0.056706047
115,0.039729001,257.053352,0.067888149
116,0.029140276,201.1856494,0.046696024
117,0.038558384,255.8409142,0.052892796
118,0.040924781,257.1846411,0.072034945
119,0.041173403,272.4226542,0.078564549
120,0.045777068,331.7685353,0.073638644
121,0.046151203,293.6064944,0.062040857
131,0.040426808,249.3515102,0.071432755
135,0.030858069,202.836932,0.043289987
136,0.036101244,232.1133211,0.061401145
137,0.041017139,278.6845491,0.076671904
138,0.037305793,251.1174568,0.065560953
139,0.043443164,280.54107,0.056752296
141,0.051463822,374.3808737,0.081932863
151,0.039211142,276.5756613,0.058756801
152,0.028218717,183.9394874,0.041911453
153,0.038404363,259.0418247,0.064395717
154,0.034517833,220.3918427,0.055181956
155,0.036834465,247.9559191,0.062873867
156,0.028915742,185.984947,0.048189454
157,0.040480848,287.8887034,0.066246722
158,0.041108222,267.2707491,0.056509908
159,0.04321624,314.0197325,0.069894934
160,0.039941954,280.5004515,0.058553982
161,0.022967779,139.64001,0.034505363
172,0.040484872,286.6642175,0.072127361
173,0.04200294,284.3602585,0.082545711
176,0.03561163,248.6787782,0.069294053
177,0.04197398,269.6957827,0.07823663
178,0.044937359,326.8168575,0.078454494
180,0.058822802,373.3994432,0.121099757
181,0.034806771,236.8696137,0.051859306
182,0.045288444,270.6206973,0.08582193
191,0.042068314,288.1686408,0.058358555
192,0.041466698,255.9060587,0.068895519
193,0.047102515,296.5344183,0.081724586
194,0.053485773,322.420049,0.101162541
195,0.046788149,331.3029257,0.073004325
196,0.036907747,254.1787238,0.06838936
197,0.041527737,275.703895,0.056621666
198,0.034775305,232.1109427,0.065737576
199,0.038872291,257.4737627,0.052159487
200,0.039387874,266.7123327,0.054219889
211,0.032895357,210.9742141,0.059678066
213,0.056080163,324.1469531,0.110945707
214,0.05245867,349.7080744,0.075692183
215,0.031647195,219.5149986,0.054806004
216,0.031647195,219.5149986,0.054806004
218,0.030138305,197.7083924,0.046334161
219,0.044565897,300.2508177,0.061580144
220,0.067040138,399.2102741,0.142774506
221,0.040965447,271.4935528,0.05797371
223,0.045672516,329.6566475,0.075469802
224,0.029604988,193.6914484,0.053945288
225,0.038360611,249.0586327,0.058201505
226,0.031647195,219.5149986,0.054806004
227,0.039506729,275.2725585,0.058905412
228,0.037326358,259.8146636,0.051594642
230,0.038070456,261.9832478,0.059194715
231,0.040873599,255.3287465,0.080474142
241,0.042990435,269.7521938,0.091322776
242,0.047813541,348.8208616,0.084994112
243,0.045715819,338.7498747,0.078665992
244,0.044052093,299.7640447,0.060619636
245,0.033309686,235.0700694,0.053925875
246,0.041449406,268.2673172,0.087073311
247,0.039385112,282.4771655,0.06165722
248,0.051111025,383.7569479,0.087943281
249,0.043083709,311.7097084,0.074859283
250,0.043021174,286.4546255,0.058863082
251,0.038323092,256.6146505,0.065806649
261,0.025390414,174.6454302,0.041925192
291,0.038497483,265.1101208,0.058126022
292,0.043982344,291.6751371,0.061363395
293,0.043960995,329.9182978,0.075131978
294,0.045659082,278.916545,0.086856958
295,0.041566268,267.8457025,0.055484307
296,0.043363152,317.0605001,0.073092569
297,0.044477259,284.4620378,0.083612325
298,0.045750634,330.6854896,0.070668974
301,0.041061274,266.5852116,0.076207135
302,0.034439055,204.973434,0.055923251
303,0.048296374,323.0276965,0.071277351
304,0.03608726,237.5864262,0.049589802
305,0.037588319,244.3279468,0.061755974
306,0.036167107,244.497436,0.05697948
307,0.024709021,150.1664049,0.039704054
309,0.018651799,121.668794,0.032000298
310,0.034816932,224.6802519,0.048435869
311,0.023561178,150.7390738,0.041284525
312,0.037203882,229.9684161,0.068455319
321,0.032737105,226.2750406,0.051101173
322,0.031647195,219.5149986,0.054806004
323,0.045578547,295.6421121,0.083809121
324,0.039254566,213.2552427,0.057856969
325,0.056080163,324.1469531,0.110945707
326,0.040663631,253.4731616,0.078437266
329,0.03576724,247.9698141,0.056298025
331,0.031686028,191.7319675,0.053830635
332,0.03134595,216.4452582,0.050539556
333,0.029506263,186.9810212,0.044488912
335,0.056080163,324.1469531,0.110945707
336,0.056080163,324.1469531,0.110945707
337,0.023773097,159.8866568,0.039642069
338,0.036499764,242.4330174,0.069955912
339,0.041141791,251.5224456,0.076398555
340,0.032264032,195.8649485,0.051772763
341,0.063318342,328.8113526,0.095227834
342,0.052798515,315.554443,0.100802892
344,0.025173878,160.3637277,0.041402873
345,0.023807962,160.755372,0.038111703
351,0.029195646,188.7020609,0.044433837
352,0.042304668,308.2633632,0.072783278
353,0.04120197,268.6128612,0.079678864
354,0.036005522,235.9869265,0.062241078
355,0.03143466,204.0267553,0.052238368
356,0.037587497,254.6535864,0.059039641
