Hour,Scaled Value
0,0.6744464343553448
1,0.6407794241380319
2,0.6286101843488553
3,0.6275656803807516
4,0.6565269970668471
5,0.7382959365908817
6,0.8321101607852802
7,0.8980042421919087
8,0.9333314658330818
9,0.9550930701486026
10,0.9664740465314425
11,0.9669297841892158
12,0.9639142822737994
13,0.960426843961705
14,0.9564491182062901
15,0.9506307240972932
16,0.935703224861308
17,0.9095352428930631
18,0.8763775606681793
19,0.8334706026803813
20,0.7841435671715752
21,0.7465110311129077
22,0.7222078996938227
23,0.7061194888296933
