Hour,Scaled Value
0,0.6469241020454818
1,0.6245982693927384
2,0.6185766593385549
3,0.6194419244817401
4,0.6641230843684058
5,0.7649115369900042
6,0.8578966263338232
7,0.9147558217433025
8,0.9395279918332249
9,0.9569841325117991
10,0.9583398920133959
11,0.9545910458423164
12,0.9499989251953359
13,0.9461668810110059
14,0.940578506290406
15,0.9351523451296634
16,0.915472755628812
17,0.8884769493369595
18,0.8551940832116317
19,0.8087093268326963
20,0.7536196997280343
21,0.7231967932549228
22,0.7016246234973149
23,0.691263925535916
