BFS,yearly_ev_peak_consumption
1,260.1
2,908.1
3,390.3
4,391.5
5,370.8
6,173.1
7,206.55
8,99.75
9,375.9
10,346.2
11,216.3
12,162.15
13,375.9
14,327.15
21,90.45
22,93.6
23,94.8
24,139.65
25,163.8
26,74.4
27,190.95
28,138.45
29,84.6
30,244.2
31,152.55
32,65.7
33,236.55
34,126.15
35,228.3
37,161.25
38,207.6
39,148.05
40,119.55
41,59.25
43,48.0
51,302.85
52,696.75
53,1507.8
54,937.2
55,308.7
56,631.95
57,250.95
58,430.95
59,170.55
60,211.2
61,88.35
62,4107.75
63,171.9
64,394.8
65,142.2
66,2645.7
67,324.75
68,214.65
69,2215.95
70,69.9
71,129.15
72,347.85
81,138.9
82,168.75
83,470.85
84,454.5
85,172.35
86,476.7
87,84.3
88,247.65
89,276.9
90,518.1
91,196.35
92,392.25
93,111.3
94,521.7
95,69.9
96,1770.75
97,930.9
98,103.35
99,108.0
100,174.3
101,248.25
102,110.25
111,406.8
112,538.5
113,484.8
114,318.0
115,732.75
116,276.9
117,1028.1
118,685.65
119,140.4
120,803.1
121,1621.8
131,3059.55
135,1075.5
136,529.8
137,320.55
138,839.4
139,542.1
141,1072.65
151,395.25
152,504.6
153,634.8
154,1130.85
155,714.45
156,1071.3
157,365.25
158,964.65
159,334.2
160,403.35
161,1065.0
172,649.2
173,278.55
176,509.55
177,843.15
178,382.2
180,276.75
181,222.0
182,123.3
191,2964.75
192,564.3
193,543.6
194,355.05
195,809.85
196,296.7
197,586.35
198,2474.1
199,1727.4
200,944.7
211,85.35
213,165.45
214,130.2
215,100.2
216,138.3
218,129.15
219,574.35
220,161.4
221,200.1
223,405.3
224,266.25
225,208.95
226,101.1
227,804.0
228,431.25
230,8739.9
231,445.65
241,157.95
242,584.25
243,2801.7
244,348.45
245,350.1
246,183.75
247,3224.7
248,357.3
249,238.65
250,1097.55
251,271.2
261,49804.8
292,247.65
293,2552.55
294,430.65
295,1828.2
296,1201.95
297,510.15
298,455.55
301,400.65
302,82.05
303,265.05
304,222.15
305,190.65
306,1098.9
307,244.5
309,160.35
310,411.15
311,369.0
312,299.55
321,352.2
322,74.85
323,87.6
324,132.0
325,40.8
326,111.3
329,1473.75
331,146.4
332,283.35
333,119.7
335,49.05
336,56.85
337,274.65
338,110.25
339,71.7
340,70.8
341,67.35
342,269.55
344,104.85
345,155.4
351,23990.25
352,498.15
353,207.45
354,219.75
355,4962.15
356,2567.1
357,137.1
358,224.7
359,411.75
360,689.25
361,1221.9
362,1723.8
