municipality,PRT_kW
1,2621.5224162067743
2,18511.398456898107
3,4954.4196013856945
4,5209.885140110364
5,4235.553997537373
6,1854.6632307852879
7,2516.3356489985167
8,1040.8318170768034
9,7902.998551620938
10,6126.288328037129
11,3488.8351921000826
12,1451.9374545891244
13,4160.187068283943
14,9821.100563948832
21,1206.1360926275256
22,4462.991333710476
23,1150.860803117854
24,1727.1506720401326
25,2539.17086560051
26,1096.0633086999323
27,4162.05588879215
28,1941.8844389918986
29,7402.929765941032
30,6050.487971720234
31,2384.3625906646193
32,773.0602458439421
33,3144.8108912715356
34,2310.698508186105
35,3048.6262903055413
37,2793.704081799332
38,1694.0969490561479
39,1484.9535313213737
40,2019.3176688215972
41,703.804783034536
43,546.0844516755831
51,3346.273089896507
52,12609.30688391344
53,21033.423469819867
54,5849.157274849363
55,7104.547979651449
56,15775.876261978086
57,2909.213720424951
58,5288.347603802602
59,2121.522548138343
60,2624.2643350657067
61,1708.8186381052662
62,12192.9206485402
63,2679.0718042134827
64,5896.151206840204
65,1518.5437052476173
66,19291.4010617339
67,6175.478479359932
68,2865.414522781194
69,12200.472730251304
70,896.362042916277
71,2540.8257071239077
72,5268.13288903576
81,1113.9022244241485
82,1764.213237376525
83,5429.368243772711
84,4607.065043710078
85,1990.9855152952925
86,13560.338994798927
87,1111.0552859358731
88,3749.036496488125
89,4216.475357985767
90,9105.876951100963
91,3116.077111741889
92,5696.308172263633
93,2046.9739979327874
94,3102.9802410588586
95,718.7575310247865
96,13897.581809072579
97,14823.83993796421
98,1123.3518176206283
99,1663.1454714032425
100,6598.412176970074
101,3688.646867117895
102,2036.8608013783025
111,6675.262838794047
112,14258.535687802796
113,7768.2752516544215
114,3523.0302935258524
115,11787.40718225624
116,4402.723928762365
117,14955.21826921522
118,11834.927305962856
119,1840.2749377077025
120,16954.888870102855
121,27227.261669392552
131,15457.420900385845
135,10080.521252546656
136,9956.038605347929
137,5280.384795828645
138,14695.020202454467
139,6110.4538095253165
141,17039.06628489406
151,13828.130751522462
152,8744.081427903373
153,11108.937016083415
154,18783.6575774939
155,14220.914473139763
156,15234.24901148974
157,5260.462351074373
158,15573.40876708647
159,8365.105536526205
160,6370.199862520297
161,14866.791774316835
172,5880.965705294125
173,5172.702172904775
176,9466.119402214666
177,14921.974513144798
178,6007.537150407881
180,4515.91442212545
181,2711.708611937916
182,1741.255656416892
191,29527.25152608654
192,9349.374189116972
193,8281.057892105047
194,3608.0740094604457
195,17186.425760632883
196,8728.121012569267
197,9946.772653279684
198,39133.453833041385
199,15013.629698106493
200,7717.583402852631
211,1016.805382499472
213,2711.350486461633
214,1443.4993427580569
215,839.9498155252593
216,2285.921373485111
218,1145.5163802032496
219,5624.473577896148
220,1752.6919090202723
221,3422.4947274283613
223,7013.808371409515
224,3630.829719484091
225,3342.411599041333
226,1576.3064559835705
227,6858.987160679029
228,6317.344430112328
230,103384.06097427182
231,12557.24316078993
241,1987.0222799205503
242,10583.360259358193
243,20599.63533075487
244,4079.2930081733953
245,4360.896010058912
246,2414.7744012473754
247,11774.844944041635
248,5751.994303919422
249,3546.898233068551
250,12589.092283215245
251,3494.32656712885
261,335346.9527832175
292,6554.452714607555
293,27619.1681155508
294,6229.871368445672
295,30001.617964304394
296,16260.027877128841
297,7015.600764660728
298,8044.264835357108
301,7171.4247074348605
302,1721.568674477709
303,6455.029428563991
304,3770.8877046460334
305,1974.2235567262485
306,19301.54678364686
307,2992.84851475891
309,1971.308712072978
310,5640.250475772989
311,4220.574449723125
312,4614.748928533331
321,6480.975412705178
322,478.9545603930433
323,987.0105070294372
324,1131.1762146386739
325,184.72427748847983
326,1107.054839462048
329,17839.02974582142
331,2998.6912147442904
332,8124.851629482118
333,2048.7969845815555
335,348.7546395421478
336,120.80320394632655
337,5145.212627895681
338,1983.4099850239418
339,450.66246033953445
340,782.695729301444
341,742.5723431966716
342,5288.044938721583
344,1360.2019109309426
345,2265.1255375391993
351,100936.8140771297
352,6382.313732014844
353,3706.524032825941
354,4018.8644053120515
355,38674.40748867276
356,17050.182901004893
357,1258.2318960614505
358,3048.9068233931653
359,7556.342419727162
360,12601.859816092969
361,12572.641361831167
362,8359.621248780637
363,13200.29551548261
371,41427.8962578516
372,3256.2751075109545
381,3159.022617525213
382,951.0433921941615
383,6436.39054670331
385,1705.3553617973957
386,1718.2434381391442
387,5878.7069507390715
388,1954.1541573632687
390,1705.1077917311436
391,1388.9100877316216
392,8625.382024464925
393,1589.5836495038786
394,932.6531836056397
401,1358.5783285782848
402,1042.0495854146552
403,1274.6243810771487
404,20683.101146957917
405,3223.433225472067
406,4820.497803541355
407,3044.753393784488
408,340.6157416892382
