municipality,P_installed (kWp),P_installed (MW)
1,5306.643289614792,5306.643289614792
10,9493.662064227403,9493.662064227403
100,5944.738895974563,5944.738895974563
1001,2005.0174459847583,2005.0174459847583
1002,11528.229688728085,11528.229688728085
1004,9117.406999873267,9117.406999873267
1005,5009.207668139759,5009.207668139759
1007,1517.9490864482984,1517.9490864482984
1008,12099.942948011589,12099.942948011589
1009,6190.354181976117,6190.354181976117
101,6590.283537030006,6590.283537030006
1010,16842.788619622443,16842.788619622443
102,3282.9420191658583,3282.9420191658583
1021,3460.0701051997894,3460.0701051997894
1023,6262.897481445772,6262.897481445772
1024,29442.54276132398,29442.54276132398
1025,2648.6571481722917,2648.6571481722917
1026,7232.402613934757,7232.402613934757
1030,15740.537078666388,15740.537078666388
1031,11628.228562961933,11628.228562961933
1032,6928.347533564588,6928.347533564588
1033,5159.565671038667,5159.565671038667
1037,4912.874694717839,4912.874694717839
1039,5451.180745174989,5451.180745174989
1040,12816.110624160512,12816.110624160512
1041,4344.818503027847,4344.818503027847
1051,9403.846673994105,9403.846673994105
1052,7468.629439791884,7468.629439791884
1053,1675.2917720121454,1675.2917720121454
1054,16038.523346046648,16038.523346046648
1055,1600.200143599868,1600.200143599868
1056,2048.7304114132858,2048.7304114132858
1057,623.6673957202948,623.6673957202948
1058,18466.87259753018,18466.87259753018
1059,27363.59898001952,27363.59898001952
1061,60969.69816185975,60969.69816185975
1062,16265.409615353785,16265.409615353785
1063,12812.965881531769,12812.965881531769
1064,3223.210140951128,3223.210140951128
1065,6169.817486276846,6169.817486276846
1066,5025.752459663593,5025.752459663593
1067,4903.381564192133,4903.381564192133
1068,3164.838515308472,3164.838515308472
1069,11817.882688331754,11817.882688331754
1081,17229.640461060942,17229.640461060942
1082,3785.032190903395,3785.032190903395
1083,7466.993573579267,7466.993573579267
1084,3911.192826875317,3911.192826875317
1085,4680.524159566936,4680.524159566936
1086,9547.256655292314,9547.256655292314
1088,5022.218813016513,5022.218813016513
1089,4616.8238449602995,4616.8238449602995
1091,2981.8999672324294,2981.8999672324294
1093,14473.41420319635,14473.41420319635
1094,6040.2478365052975,6040.2478365052975
1095,6717.394234125377,6717.394234125377
1097,7689.709993213872,7689.709993213872
1098,18953.896847632852,18953.896847632852
1099,5251.868372883034,5251.868372883034
11,6025.847977665764,6025.847977665764
1100,2401.667473486424,2401.667473486424
1102,7136.357700258703,7136.357700258703
1103,11841.965841982234,11841.965841982234
1104,11515.514627322784,11515.514627322784
1107,8544.222673503218,8544.222673503218
111,12960.76479919108,12960.76479919108
112,14066.086187259763,14066.086187259763
1121,1516.5013058511292,1516.5013058511292
1122,2063.761576608496,2063.761576608496
1123,4625.399981658656,4625.399981658656
1125,11627.398732093876,11627.398732093876
1127,3230.3550459875214,3230.3550459875214
1128,5959.543711126466,5959.543711126466
1129,2040.448832322937,2040.448832322937
113,12829.210377771846,12829.210377771846
1131,1934.786789789702,1934.786789789702
1132,4185.9094321212415,4185.9094321212415
1135,4840.78371482278,4840.78371482278
1136,8427.246518222659,8427.246518222659
1137,4563.3907737378695,4563.3907737378695
1139,6166.55757716939,6166.55757716939
114,6893.593473913987,6893.593473913987
1140,12939.44193768231,12939.44193768231
1142,1647.4193200302684,1647.4193200302684
1143,8153.291916952703,8153.291916952703
1145,2991.2304733096744,2991.2304733096744
1146,3422.5101808049026,3422.5101808049026
1147,3260.8110669197763,3260.8110669197763
115,19908.003434503582,19908.003434503582
1150,5593.3377860268365,5593.3377860268365
1151,21412.21032454362,21412.21032454362
116,7545.867108052366,7545.867108052366
117,20875.073036218393,20875.073036218393
118,16071.81977638325,16071.81977638325
119,3403.144864456942,3403.144864456942
12,2724.4822125295113,2724.4822125295113
120,19350.659051517974,19350.659051517974
1201,14757.556354080769,14757.556354080769
1202,3886.977158047735,3886.977158047735
1203,4102.614636587112,4102.614636587112
1205,8731.99987204488,8731.99987204488
1206,7396.6201247318795,7396.6201247318795
1207,3286.0531675612383,3286.0531675612383
1208,1558.2411774551008,1558.2411774551008
1209,1647.4895115905554,1647.4895115905554
121,26887.424369343837,26887.424369343837
1210,548.9474075424139,548.9474075424139
1211,1713.9850997866763,1713.9850997866763
1212,586.7259149147181,586.7259149147181
1213,9752.04099737273,9752.04099737273
1214,4643.79968143229,4643.79968143229
1215,2598.693832411952,2598.693832411952
1216,5925.099783517088,5925.099783517088
1217,665.9173041821941,665.9173041821941
1218,648.6747400717187,648.6747400717187
1219,2405.442885196501,2405.442885196501
1220,1361.590034816618,1361.590034816618
13,7185.006624414243,7185.006624414243
1301,33399.72831424385,33399.72831424385
131,16948.0574618351,16948.0574618351
1311,5387.385966066988,5387.385966066988
1321,9278.057219631592,9278.057219631592
1322,20991.826271982245,20991.826271982245
1323,10713.908143066577,10713.908143066577
1331,22256.269634540127,22256.269634540127
1341,11374.46867562515,11374.46867562515
1342,9006.16291596068,9006.16291596068
1343,663.9359477578379,663.9359477578379
1344,8494.687534769197,8494.687534769197
1345,6373.662872655636,6373.662872655636
1346,12867.093369238064,12867.093369238064
1347,6930.020295016106,6930.020295016106
1348,2742.510146798638,2742.510146798638
1349,9900.612759353447,9900.612759353447
135,10587.0390710233,10587.0390710233
136,9536.034654994737,9536.034654994737
1361,1977.518510609962,1977.518510609962
1362,19551.166232285766,19551.166232285766
1363,1712.4959950166378,1712.4959950166378
1364,12095.71578247961,12095.71578247961
1365,1963.84873102568,1963.84873102568
1366,3626.4721610551387,3626.4721610551387
1367,10847.164212255828,10847.164212255828
1368,4213.938848102776,4213.938848102776
1369,181.1352301027266,181.1352301027266
137,6811.1552262005325,6811.1552262005325
1370,5288.999111114904,5288.999111114904
1371,5736.006982909402,5736.006982909402
1372,29696.29633563152,29696.29633563152
1373,6038.866012166655,6038.866012166655
1374,1610.0827477324094,1610.0827477324094
1375,7824.406319364969,7824.406319364969
138,16115.843933424132,16115.843933424132
139,8005.905686986972,8005.905686986972
14,7858.909635139665,7858.909635139665
1401,12217.239923534658,12217.239923534658
1402,14106.218823503466,14106.218823503466
1403,13721.736886010463,13721.736886010463
1404,17045.677437922153,17045.677437922153
1405,7305.052030839643,7305.052030839643
1406,11443.95549614185,11443.95549614185
1407,26003.738602355894,26003.738602355894
141,17945.103324818803,17945.103324818803
1501,7271.826445023768,7271.826445023768
1502,7940.887641574066,7940.887641574066
1503,4545.758394134438,4545.758394134438
1504,4540.781432005001,4540.781432005001
1505,9153.561902518304,9153.561902518304
1506,5368.6198475060155,5368.6198475060155
1507,9030.992882830149,9030.992882830149
1508,6714.0691977560955,6714.0691977560955
1509,10425.504111921085,10425.504111921085
151,8913.16048285695,8913.16048285695
1510,7462.885905609637,7462.885905609637
1511,6499.881004971878,6499.881004971878
152,12136.707917439287,12136.707917439287
153,16358.260463785764,16358.260463785764
154,23397.678528158132,23397.678528158132
155,13774.93933744247,13774.93933744247
156,19693.441448222788,19693.441448222788
157,7666.516096209241,7666.516096209241
158,20037.224746538843,20037.224746538843
159,8785.204857333165,8785.204857333165
160,9654.741787641937,9654.741787641937
161,17184.331687163307,17184.331687163307
1630,41230.07274540176,41230.07274540176
1631,38895.35436407583,38895.35436407583
1632,22994.318066021387,22994.318066021387
1701,26215.325801092,26215.325801092
1702,16983.481528061075,16983.481528061075
1703,14251.50343537274,14251.50343537274
1704,9045.232847951158,9045.232847951158
1705,3798.4826562283015,3798.4826562283015
1706,12533.25859961855,12533.25859961855
1707,11998.681121317115,11998.681121317115
1708,8585.425599111772,8585.425599111772
1709,13402.77133632332,13402.77133632332
1710,8044.088904607304,8044.088904607304
1711,24416.871727013695,24416.871727013695
172,9014.683837563727,9014.683837563727
173,7667.446662983828,7667.446662983828
176,10033.560989199192,10033.560989199192
177,17441.75997358974,17441.75997358974
178,10178.528024839612,10178.528024839612
180,7572.697456936213,7572.697456936213
181,4988.491215654844,4988.491215654844
182,3674.148669938972,3674.148669938972
191,28116.96750717657,28116.96750717657
192,14745.141305200534,14745.141305200534
193,9744.515932403403,9744.515932403403
194,5103.704821619491,5103.704821619491
195,18040.9253279593,18040.9253279593
196,6095.29553332355,6095.29553332355
197,5359.396518535124,5359.396518535124
198,40694.38775438115,40694.38775438115
199,21508.957703644053,21508.957703644053
2,15803.928240813946,15803.928240813946
200,9849.666268211653,9849.666268211653
2008,1050.6409915887648,1050.6409915887648
2011,4591.944107113416,4591.944107113416
2016,2294.1338071826895,2294.1338071826895
2022,3090.2811965554943,3090.2811965554943
2025,2499.936084878953,2499.936084878953
2027,1140.776873153096,1140.776873153096
2029,6808.446376217758,6808.446376217758
2035,1221.3913795620824,1221.3913795620824
2038,190.16300391583746,190.16300391583746
2041,4188.883155389506,4188.883155389506
2043,691.87068964809,691.87068964809
2044,3902.4682763974897,3902.4682763974897
2045,1238.8775263062707,1238.8775263062707
2050,4722.320429424439,4722.320429424439
2051,3344.365338676169,3344.365338676169
